Big_Bend_National_Park,TX,801163
Denali_National_Park_and_Preserve,AK,3372402
Death_Valley_National_Park,CA,4740912
Everglades_National_Park,FL,1508538
Gates_Of_The_Arctic_National_Park_and_Preserve,AK,7523898
Glacier_National_Park,MT,1013572
Glacier_Bay_National_Park_and_Preserve,AK,3224840
Grand_Canyon_National_Park,AZ,1217403
Great_Smoky_Mountains_National_Park,TN,521490
Isle_Royale_National_Park,MI,571790
Joshua_Tree_National_Park,CA,789745
Katmai_National_Park_and_Preserve,AK,3674530
Kenai_Fjords_National_Park,AK,669983
Kobuk_Valley_National_Park,AK,1750717
Lake_Clark_National_Park_and_Preserve,AK,2619733
North_Cascades_National_Park,WA,504781
Olympic_National_Park,WA,922651
Sequoia_and_Kings_Canyon_National_Parks,CA,865952
Wrangell_-_St_Elias_National_Park_and_Preserve,AK,8323148
Yellowstone_National_Park,WY,2219791
Yosemite_National_Park,CA,761266
